Player,TOV%,USG%,DBPM,BPM,Pos,3PA,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Anfernee Hardaway,14.2,21.1,1.6,3.5,SG,1.7,0.496,0.79,5.8,5.3,1.6,0.6,2.6,2.7,16.9
Tim Hardaway*,14.6,22.8,-1.1,1.8,PG,4.9,0.398,0.827,2.9,7.4,0.9,0.1,2.3,2.2,13.4
Ron Harper,18.1,15.6,1.9,0.6,PG,1.3,0.421,0.68,4.2,3.4,1.1,0.5,1.7,2.1,7.0
Othella Harrington,18.4,20.0,-1.8,-3.5,PF,0.0,0.507,0.792,6.9,1.2,0.4,0.7,2.6,3.5,13.1
Lucious Harris,7.7,16.2,0.0,-0.5,SG,1.5,0.46,0.798,2.4,1.3,0.8,0.1,0.5,1.3,6.7
Hersey Hawkins,19.0,14.9,0.8,-1.3,SG,2.3,0.444,0.899,2.9,2.2,1.2,0.2,1.6,2.4,7.9
Alan Henderson,11.4,19.4,-1.2,-1.6,PF,0.1,0.465,0.671,7.0,0.9,1.0,0.7,1.7,2.8,13.2
Cedric Henderson,15.5,17.3,-0.4,-4.9,SF,0.2,0.412,0.663,2.3,0.9,0.6,0.3,1.1,1.6,5.4
Grant Hill*,12.4,30.5,0.1,5.4,SF,1.3,0.5,0.795,6.6,5.2,1.4,0.6,3.2,2.6,25.8
Tyrone Hill,13.9,18.2,-0.4,-1.4,PF,0.0,0.485,0.691,9.2,0.8,0.9,0.4,1.8,3.6,12.0
Jeff Hornacek,12.3,19.9,-0.1,1.9,SG,1.8,0.495,0.95,2.4,2.6,0.9,0.2,1.5,1.9,12.4
Robert Horry,15.0,12.7,3.1,3.0,PF,1.2,0.483,0.788,4.8,1.6,1.1,1.1,1.0,2.5,5.7
Allan Houston,11.6,24.0,-0.2,1.7,SG,3.0,0.494,0.838,3.3,2.7,0.8,0.2,2.3,2.7,19.7
Juwan Howard,15.5,22.2,-1.4,-2.8,PF,0.1,0.462,0.735,5.7,3.0,0.8,0.3,2.7,3.6,14.9
Troy Hudson,15.6,19.2,-2.5,-3.4,PG,3.1,0.414,0.811,2.4,3.9,0.7,0.0,1.7,1.0,8.8
Larry Hughes,12.9,27.8,-0.6,-0.9,SG,1.5,0.421,0.74,4.3,2.5,1.4,0.3,2.4,2.3,15.0
Lindsey Hunter,13.1,16.6,0.2,0.7,PG,4.7,0.419,0.76,3.0,4.0,1.6,0.3,1.8,2.6,12.7
